wavelength_um,rsr_watts,sensor,band
0.427,7.3E-05,l8_oli,ca
0.428,0.000609,l8_oli,ca
0.429,0.001628,l8_oli,ca
0.43,0.003421,l8_oli,ca
0.431,0.008019,l8_oli,ca
0.432,0.024767,l8_oli,ca
0.433,0.085688,l8_oli,ca
0.434,0.254149,l8_oli,ca
0.435,0.517821,l8_oli,ca
0.461,0.889667,l8_oli,blue
0.462,0.883542,l8_oli,blue
0.463,0.877453,l8_oli,blue
0.464,0.881011,l8_oli,blue
0.465,0.874721,l8_oli,blue
0.466,0.879688,l8_oli,blue
0.467,0.886569,l8_oli,blue
0.468,0.891913,l8_oli,blue
0.469,0.88768,l8_oli,blue
0.47,0.861157,l8_oli,blue
0.471,0.848533,l8_oli,blue
0.472,0.840828,l8_oli,blue
0.473,0.828339,l8_oli,blue
0.474,0.844202,l8_oli,blue
0.475,0.865864,l8_oli,blue
0.476,0.868497,l8_oli,blue
0.477,0.890253,l8_oli,blue
0.478,0.912538,l8_oli,blue
0.479,0.910385,l8_oli,blue
0.48,0.918822,l8_oli,blue
0.481,0.931726,l8_oli,blue
0.482,0.931813,l8_oli,blue
0.483,0.954248,l8_oli,blue
0.484,0.955545,l8_oli,blue
0.485,0.96242,l8_oli,blue
0.486,0.956424,l8_oli,blue
0.487,0.953352,l8_oli,blue
0.488,0.978564,l8_oli,blue
0.489,0.989104,l8_oli,blue
0.49,0.985615,l8_oli,blue
0.491,0.989469,l8_oli,blue
0.492,0.982262,l8_oli,blue
0.493,0.968801,l8_oli,blue
0.494,0.967332,l8_oli,blue
0.495,0.976836,l8_oli,blue
0.496,0.988729,l8_oli,blue
0.497,0.980826,l8_oli,blue
0.498,0.967361,l8_oli,blue
0.499,0.954754,l8_oli,blue
0.5,0.964132,l8_oli,blue
0.501,0.966125,l8_oli,blue
0.502,0.966772,l8_oli,blue
0.503,0.981834,l8_oli,blue
0.504,0.98232,l8_oli,blue
0.505,0.965685,l8_oli,blue
0.506,0.963135,l8_oli,blue
0.507,0.972261,l8_oli,blue
0.508,0.996498,l8_oli,blue
0.509,1,l8_oli,blue
0.51,0.9556,l8_oli,blue
0.511,0.844893,l8_oli,blue
0.512,0.534592,l8_oli,blue
0.513,0.190738,l8_oli,blue
0.514,0.048329,l8_oli,blue
0.515,0.013894,l8_oli,blue
0.516,0.005328,l8_oli,blue
0.517,0.002611,l8_oli,blue
0.518,0.001557,l8_oli,blue
0.519,0.0011,l8_oli,blue
0.52,0.000785,l8_oli,blue
0.521,0.000516,l8_oli,blue
0.522,0.000321,l8_oli,blue
0.523,0.000162,l8_oli,blue
0.524,7.2E-05,l8_oli,blue
